100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	15
1100	0
1200	0
1300	0
1400	16
1500	0
1600	0
1700	0
1800	0
1900	15
2000	0
2100	16
2200	0
2300	16
2400	0
2500	15
2600	16
2700	0
2800	0
2900	16
3000	15
3100	0
3200	16
3300	15
3400	16
3500	16
3600	31
3700	16
3800	15
3900	16
4000	15
4100	16
4200	31
4300	16
4400	47
4500	31
4600	31
4700	32
4800	31
4900	47
5000	47
5100	31
5200	15
5300	32
5400	31
5500	47
5600	31
5700	31
5800	32
5900	46
6000	79
6100	46
6200	47
6300	47
6400	47
6500	63
6600	46
6700	32
6800	47
6900	46
7000	47
7100	63
7200	47
7300	78
7400	78
7500	47
7600	62
7700	63
7800	62
7900	78
8000	63
8100	62
8200	63
8300	78
8400	63
8500	62
8600	78
8700	78
8800	78
8900	79
9000	78
9100	78
9200	94
9300	78
9400	93
9500	94
9600	78
9700	94
9800	125
9900	125
10000	109
10100	110
10200	125
10300	109
10400	110
10500	109
10600	109
10700	125
10800	110
10900	109
11000	125
11100	109
11200	125
11300	125
11400	125
11500	141
11600	125
11700	141
11800	156
11900	156
