100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	16
1000	16
1100	0
1200	15
1300	0
1400	16
1500	0
1600	16
1700	15
1800	16
1900	203
2000	16
2100	78
2200	15
2300	16
2400	16
2500	0
2600	15
2700	16
2800	31
2900	16
3000	15
3100	32
3200	15
3300	31
3400	47
3500	32
3600	46
3700	47
3800	32
3900	46
4000	47
4100	47
4200	63
4300	47
4400	31
4500	47
4600	47
4700	31
4800	47
4900	47
5000	62
5100	63
5200	62
5300	31
5400	47
5500	47
5600	63
5700	46
5800	32
5900	62
6000	78
6100	47
6200	63
6300	78
6400	62
6500	63
6600	62
6700	63
6800	78
6900	78
7000	109
7100	110
7200	172
7300	156
7400	156
7500	94
7600	94
7700	78
7800	94
7900	93
8000	94
8100	94
8200	94
8300	109
8400	109
8500	94
8600	109
8700	110
8800	125
8900	109
9000	125
9100	125
9200	156
9300	125
9400	110
9500	156
9600	156
9700	141
9800	141
9900	156
